image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
avocado,0.6190476190476191,1.0,0.9047619047619048,0.4761904761904761,0.8571428571428571,0.7619047619047619,0.2247209896840324,0.0136557222990453,0.0734181935703428,2.0157404324930677,0.2974722489192896,0.8795064608120066,0.2857142857142857,0.28571428571428575,-0.1513027961136896,-1.1362339716810612,0.1513027961136896,1.1362339716810612,0.2110652673849871,1.718268183573778
awning,0.1818181818181818,0.7727272727272727,0.6818181818181818,0.0,0.0454545454545454,0.0909090909090909,0.6147167964928704,0.4619905782926234,0.4978172554301532,3.077819531114783,2.6158045319402516,3.09003277660148,0.5,0.0909090909090909,-0.11689954106271716,0.012213245486696778,0.11689954106271716,-0.012213245486696778,0.15272621820024695,0.4620149991745315
axe,0.0666666666666666,0.9333333333333332,0.7333333333333333,0.2666666666666666,0.9333333333333332,0.7333333333333333,0.5085454118472291,0.0301380596213839,0.1444055114113756,3.085055102756477,0.3533593350214213,1.0892300788425848,0.6666666666666667,0.4666666666666667,-0.36413990043585354,-1.9958250239138924,0.36413990043585354,1.9958250239138924,0.47840735222584524,2.7316957677350557
baby,1.0,1.0,1.0,0.6842105263157895,0.7368421052631579,0.7894736842105263,0.0286293750509994,0.0314919406963629,0.0,0.3712323266408756,0.3533593350214213,-0.0,0.0,0.10526315789473684,-0.0286293750509994,-0.3712323266408756,0.0286293750509994,0.3712323266408756,-0.0028625656453634997,0.01787299161945427
backdrop,0.0666666666666666,0.6666666666666666,0.6,0.0,0.1333333333333333,0.0666666666666666,0.7981173508424324,0.6002857345700908,0.7062938401328133,3.0,2.721928094887362,3.321928094887362,0.5333333333333334,0.0666666666666666,-0.09182351070961914,0.3219280948873622,0.09182351070961914,-0.3219280948873622,0.19783161627234158,0.2780719051126379
backgammon,0.7058823529411765,1.0,1.0,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.298592781920144,0.2940341984565265,0.2940341984565265,2.4996981431844145,2.5495234595978324,2.5495234595978324,0.2941176470588235,0.0,-0.004558583463617483,0.04982531641341792,0.004558583463617483,-0.04982531641341792,0.004558583463617483,-0.04982531641341792
backpack,0.1052631578947368,1.0,0.7894736842105263,0.0,0.1578947368421052,0.1052631578947368,0.6754758500481426,0.0184774072457352,0.1533854874524065,3.3927474104487847,1.5016144718101818,2.091917186688699,0.6842105263157895,0.1052631578947368,-0.522090362595736,-1.3008302237600855,0.522090362595736,1.3008302237600855,0.6569984428024074,1.8911329386386029
backscratcher,0.5263157894736842,0.631578947368421,0.8947368421052632,0.1052631578947368,0.3684210526315789,0.3684210526315789,0.5197229601151594,0.3733532762251343,0.3685972699377884,3.149397470347699,2.522620309531022,2.4115091984199104,0.368421052631579,0.26315789473684215,-0.15112569017737099,-0.7378882719277886,0.15112569017737099,0.7378882719277886,0.14636968389002508,0.626777160816677
bacon,0.0526315789473684,0.7894736842105263,0.8947368421052632,0.0526315789473684,0.4210526315789473,0.4210526315789473,0.5928477890767602,0.1400197292724168,0.1400197292724168,2.6416041678685933,0.9219280948873624,0.9219280948873624,0.8421052631578948,0.36842105263157887,-0.4528280598043434,-1.719676072981231,0.4528280598043434,1.719676072981231,0.4528280598043434,1.719676072981231
badge,0.7272727272727273,0.9090909090909092,1.0,0.0,0.0,0.0,0.548866953737664,0.5239435372866831,0.5239435372866831,1.5487949406953985,0.5032583347756457,-0.0,0.2727272727272727,0.0,-0.02492341645098095,-1.5487949406953985,0.02492341645098095,1.5487949406953985,0.02492341645098095,1.0455366059197528
badger,0.7,1.0,0.95,0.6,0.65,0.65,0.138521331467831,0.0728017282143896,0.0728017282143896,1.0389205950315936,0.8683927290103626,0.8683927290103626,0.25,0.050000000000000044,-0.0657196032534414,-0.17052786602123104,0.0657196032534414,0.17052786602123104,0.0657196032534414,0.17052786602123104
bag,0.1515151515151515,0.9393939393939394,0.5454545454545454,0.0606060606060606,0.8181818181818182,0.3939393939393939,0.6061749790985125,0.020726919840601,0.319997196276687,3.5883543471732335,0.4310167689753772,2.4656044744551613,0.3939393939393939,0.3333333333333333,-0.2861777828218255,-1.1227498727180723,0.2861777828218255,1.1227498727180723,0.5854480592579114,3.1573375781978563
bagel,0.6470588235294118,1.0,0.9411764705882352,0.0,0.2352941176470588,0.1764705882352941,0.4231341314345663,0.2069308196976944,0.2968721998414462,2.450825794518088,1.419556298571613,1.987773371487984,0.2941176470588234,0.1764705882352941,-0.1262619315931201,-0.46305242303010385,0.1262619315931201,0.46305242303010385,0.2162033117368719,1.0312694959464748
